Date,Open,High,Low,Close,Adj Close,Volume
2014-06-01,90.000000,96.337502,79.750000,86.287498,49.009346,14000948
2014-07-01,87.025002,88.699997,79.974998,82.849998,47.056919,8037380
2014-08-01,82.750000,93.387497,80.675003,89.712502,50.954678,8140024
2014-09-01,88.824997,102.724998,83.687500,90.375000,57.100708,14679148
2014-10-01,91.862503,98.625000,87.787498,90.925003,57.448208,12205188
2014-11-01,91.500000,96.449997,84.250000,91.175003,57.606163,14880224
2014-12-01,93.312500,93.449997,79.324997,82.900002,52.377853,13725552
2015-01-01,82.500000,88.750000,80.750000,86.812500,54.849854,7483524
2015-02-01,86.974998,86.974998,76.750000,83.275002,52.614792,8008620
2015-03-01,84.537498,93.750000,84.324997,92.074997,58.174801,8399208
2015-04-01,93.250000,96.449997,86.500000,90.074997,56.911163,5936184
2015-05-01,90.074997,93.699997,81.012497,88.987503,56.224060,6934840
2015-06-01,89.250000,401.500000,0.002500,384.600006,242.997910,10364058
2015-07-01,96.349998,116.349998,96.349998,107.811996,68.117752,18416796
2015-08-01,109.962997,110.175003,91.500000,103.662003,65.495697,36793236
2015-09-01,102.500000,105.500000,96.112503,100.525002,63.513687,9780864
2015-10-01,99.750000,411.000000,97.824997,398.399994,269.509033,8152852
2015-11-01,99.937500,106.925003,96.937500,105.212997,71.174324,12462928
2015-12-01,106.125000,110.000000,99.000000,107.162003,72.492798,8769148
2016-01-01,107.750000,113.750000,97.699997,100.275002,67.833885,7312164
2016-02-01,101.000000,104.250000,86.262497,91.812500,62.109188,6625132
2016-03-01,92.949997,102.112999,92.724998,98.362503,70.647545,7504660
2016-04-01,98.375000,109.949997,97.875000,108.224998,77.731148,5268000
2016-05-01,108.750000,109.000000,98.162498,103.938004,74.652061,13158372
2016-06-01,104.625000,110.750000,102.050003,110.150002,79.113754,16285544
2016-07-01,110.000000,137.425003,110.000000,135.850006,97.572426,26642196
2016-08-01,136.500000,148.311996,132.975006,143.938004,103.381523,31005200
2016-09-01,145.125000,149.750000,137.561996,145.688004,104.638428,19860284
2016-10-01,145.250000,166.800003,145.250000,161.500000,123.286446,30401378
2016-11-01,163.024994,163.875000,140.850006,152.899994,116.721344,15999660
2016-12-01,153.500000,163.300003,145.125000,162.824997,124.297920,21671960
2017-01-01,163.949997,196.350006,162.975006,183.024994,139.718262,16611818
2017-02-01,185.449997,201.975006,181.949997,192.475006,146.932251,8975124
2017-03-01,192.500000,195.600006,183.250000,193.375000,158.416290,13850904
2017-04-01,193.600006,224.000000,189.500000,220.000000,184.642365,17582510
2017-05-01,220.000000,225.324997,207.824997,215.925003,181.222275,18366746
2017-06-01,214.225006,215.199997,188.250000,192.449997,161.520096,12599714
2017-07-01,194.824997,199.149994,182.250000,183.675003,154.155380,15260598
2017-08-01,187.449997,231.300003,183.125000,226.975006,190.496353,26463848
2017-09-01,230.000000,230.000000,187.399994,200.024994,168.273193,18409334
2017-10-01,200.024994,221.000000,199.375000,207.149994,174.267151,22584412
2017-11-01,212.000000,212.000000,192.675003,196.750000,165.518051,13700214
2017-12-01,196.500000,391.500000,191.100006,194.199997,163.372818,5473026
2018-01-01,197.949997,213.800003,187.449997,208.875000,175.718338,22475812
2018-02-01,209.949997,416.250000,180.925003,379.250000,319.048096,22552860
2018-03-01,190.000000,206.250000,164.600006,176.300003,155.620407,32677667
2018-04-01,177.550003,181.250000,156.800003,162.300003,143.262558,22680062
2018-05-01,162.300003,176.699997,151.100006,174.050003,153.634323,20857928
2018-06-01,176.000000,177.199997,150.149994,155.949997,137.657394,16212835
2018-07-01,156.949997,169.050003,151.500000,164.449997,145.160370,9183715
2018-08-01,166.399994,171.550003,151.600006,155.649994,137.392609,9987438
2018-09-01,157.000000,160.100006,145.649994,153.199997,136.946091,8195303
2018-10-01,153.000000,158.899994,105.650002,138.050003,123.403450,31821197
2018-11-01,139.250000,154.949997,132.000000,133.600006,119.425583,22644580
2018-12-01,133.500000,148.199997,127.699997,137.100006,122.554237,31232821
2019-01-01,137.350006,139.399994,129.399994,137.149994,128.465927,14625911
2019-02-01,137.100006,146.800003,121.050003,144.800003,135.631577,16044856
2019-03-01,144.800003,169.500000,143.449997,162.699997,152.398178,16543041
2019-04-01,163.699997,163.699997,147.100006,157.800003,149.187225,11230927
2019-05-01,157.800003,169.000000,141.500000,165.550003,156.514236,16709212
2019-06-01,167.149994,170.399994,150.949997,155.850006,147.343674,7930941
2019-07-01,156.100006,157.350006,132.000000,139.300003,131.696960,12293383
2019-08-01,138.250000,142.000000,116.099998,122.449997,115.766640,15030337
2019-09-01,122.449997,149.399994,116.699997,147.399994,140.485535,17489912
2019-10-01,149.699997,156.000000,140.050003,146.800003,139.913681,14030482
2019-11-01,141.000000,144.000000,128.350006,131.250000,125.093124,11075273
2019-12-01,131.750000,131.750000,121.800003,125.650002,119.755821,6493468
2020-01-01,125.949997,128.250000,112.300003,113.449997,108.128113,15590152
2020-02-01,110.000000,118.300003,101.000000,105.650002,100.694008,7888172
2020-03-01,108.000000,112.000000,74.550003,81.650002,77.819839,27146134
2020-04-01,82.000000,89.599998,76.699997,84.250000,84.250000,11038338
2020-05-01,84.000000,84.750000,71.150002,83.300003,83.300003,13971843
2020-06-01,85.050003,96.250000,83.750000,85.349998,85.349998,36754978
2020-07-01,85.300003,95.650002,82.500000,88.550003,88.550003,35721821
2020-08-01,88.050003,91.750000,84.599998,85.800003,85.800003,31630298
2020-09-01,86.000000,86.599998,71.349998,73.949997,73.949997,20259750
2020-10-01,74.400002,81.900002,73.449997,79.550003,79.550003,34882125
2020-11-01,80.699997,87.400002,76.900002,84.550003,84.550003,18013378
2020-12-01,85.000000,94.199997,84.099998,92.500000,92.500000,12549412
